Workout Profile,Workout
11,"Mon: Full Body Strength + Cardio Intervals
Treadmill Warm-up – 5 minutes brisk walk

Barbell Deadlifts – 4 sets of 10 reps

Dumbbell Bench Press – 4 sets of 12 reps

Lat Pulldown – 3 sets of 10 reps

Leg Press – 3 sets of 12 reps

Rowing Machine Intervals – 10 minutes (30 sec sprint, 1 min recovery)

Tue: Rest
Wed: Lower Body Strength + Core
Barbell Back Squats – 4 sets of 10 reps

Romanian Deadlifts (Dumbbells) – 4 sets of 12 reps

Walking Lunges (Dumbbells) – 3 sets of 12 reps per leg

Leg Extensions – 3 sets of 15 reps

Hanging Leg Raises – 3 sets of 15 reps

Cable Crunches – 3 sets of 15 reps

Thu: Rest
Fri: Upper Body Push-Pull + HIIT Finisher
Barbell Bench Press – 4 sets of 10 reps

Assisted Pull-ups – 3 sets of 8–10 reps

Dumbbell Shoulder Press – 3 sets of 12 reps

Triceps Rope Pushdown – 3 sets of 12 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Jump Rope – 3 sets of 1 minute

Sat: Optional Active Recovery or Low-Intensity Cardio
Stationary Bike – 20 minutes low resistance

Foam Rolling – 5–10 minutes

Full-body Stretching – 10 minutes

Sun: Rest"
12,"Mon: Upper Body Push + Cardio Intervals
Treadmill Warm-up – 5 minutes brisk walk

Barbell Bench Press – 4 sets of 10 reps

Dumbbell Shoulder Press – 4 sets of 12 reps

Incline Dumbbell Chest Press – 3 sets of 10 reps

Triceps Dips – 3 sets of 12 reps

Cable Triceps Pushdowns – 3 sets of 12 reps

Rowing Machine Intervals – 12 minutes (1 min sprint, 1 min recovery)

Tue: Lower Body Strength
Barbell Back Squats – 4 sets of 10 reps

Leg Press – 4 sets of 12 reps

Walking Lunges (Dumbbells) – 3 sets of 12 reps per leg

Romanian Deadlifts (Barbell) – 3 sets of 10 reps

Leg Curls – 3 sets of 15 reps

Standing Calf Raises – 3 sets of 20 reps

Wed: Core + Cardio Conditioning
Ab Rollouts (Ab Wheel) – 3 sets of 12 reps

Hanging Leg Raises – 3 sets of 15 reps

Russian Twists (Medicine Ball) – 3 sets of 30 reps (15 per side)

Plank – 3 sets of 1 minute

Cable Woodchoppers – 3 sets of 15 reps per side

Stairmaster – 10 minutes at moderate pace

Thu: Upper Body Pull + HIIT
Lat Pulldown – 4 sets of 10 reps

Barbell Bent-over Rows – 4 sets of 10 reps

Seated Row – 3 sets of 12 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Face Pulls (Cable) – 3 sets of 15 reps

Jump Rope – 3 sets of 1 minute

Fri: Full Body Power + Cardio Burnout
Deadlifts – 4 sets of 8 reps

Squat to Press (Dumbbells) – 3 sets of 12 reps

Barbell Rows – 3 sets of 10 reps

Burpees – 3 sets of 15 reps

Push-ups – 3 sets of 20 reps

Stationary Bike Intervals – 12 minutes (1 min sprint, 1 min recovery)

Sat: Optional Active Recovery or Low-Intensity Cardio
Treadmill Walk – 20 minutes at incline

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
13,"Mon: Full Body Bodyweight Workout
Bodyweight Squats – 3 sets of 12 reps

Push-ups (Knee or Standard) – 3 sets of 8-10 reps

Glute Bridges – 3 sets of 12 reps

Plank – 3 sets of 30 seconds

Superman Hold – 3 sets of 20 seconds

Walking Lunges – 3 sets of 12 reps per leg

Tue: Rest
Wed: Upper Body + Core Focus
Wall Push-ups – 3 sets of 10-12 reps

Triceps Dips (using a chair) – 3 sets of 8-10 reps

Shoulder Taps – 3 sets of 20 reps

Leg Raises – 3 sets of 10-12 reps

Bicycle Crunches – 3 sets of 15 reps per side

Side Plank – 3 sets of 20-30 seconds per side

Thu: Rest
Fri: Lower Body + Full Body Stretch
Glute Bridges – 3 sets of 12 reps

Step-ups (using a chair or bench) – 3 sets of 10 reps per leg

Sumo Squats – 3 sets of 12 reps

Calf Raises (Slow Tempo) – 3 sets of 15-20 reps

Leg Raises – 3 sets of 12 reps

Forward Fold Stretch – 2 sets of 30 seconds

Sat: Rest
Sun: Rest"
14,"Mon: Full Body Strength & Endurance
Bodyweight Squats – 4 sets of 12 reps

Push-ups (Knee or Standard) – 4 sets of 10 reps

Glute Bridges – 4 sets of 12 reps

Superman Hold – 4 sets of 20 seconds

Walking Lunges – 4 sets of 12 reps per leg

Plank – 3 sets of 30 seconds

Tue: Upper Body + Core Focus
Wall Push-ups – 4 sets of 12 reps

Triceps Dips (using a chair) – 4 sets of 10 reps

Shoulder Taps – 4 sets of 20 reps

Leg Raises – 4 sets of 12 reps

Bicycle Crunches – 4 sets of 15 reps per side

Side Plank – 3 sets of 30 seconds per side

Wed: Lower Body + Flexibility
Glute Bridges – 4 sets of 15 reps

Step-ups (using a chair or bench) – 4 sets of 12 reps per leg

Sumo Squats – 4 sets of 12 reps

Calf Raises (Slow Tempo) – 4 sets of 20 reps

Forward Fold Stretch – 2 sets of 30 seconds

Hip Flexor Stretch – 2 sets of 30 seconds per leg

Thu: Full Body Strength
Jump Squats – 3 sets of 10 reps

Push-ups – 4 sets of 12 reps

Bulgarian Split Squats (using a chair) – 3 sets of 12 reps per leg

Glute Bridge March – 3 sets of 10 reps per leg

Plank to Push-up – 3 sets of 10 reps

Superman Hold – 3 sets of 30 seconds

Fri: Core + Mobility
V-ups – 3 sets of 12 reps

Leg Raises – 4 sets of 15 reps

Russian Twists – 4 sets of 30 reps (15 per side)

Side Plank with Reach – 3 sets of 20 seconds per side

Cobra Stretch – 2 sets of 30 seconds

Child’s Pose – 2 sets of 30 seconds

Sat: Active Recovery or Full Body Stretch
Walking – 20 minutes at moderate pace

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
15,"Mon: Full Body Strength + Machine Focus
Treadmill Warm-up – 5 minutes brisk walk

Leg Press – 3 sets of 12 reps

Seated Chest Press Machine – 3 sets of 10 reps

Lat Pulldown – 3 sets of 12 reps

Leg Curls (Hamstring Machine) – 3 sets of 12 reps

Dumbbell Shoulder Press – 3 sets of 10 reps

Cable Bicep Curls – 3 sets of 12 reps

Triceps Pushdown – 3 sets of 12 reps

Tue: Rest
Wed: Upper Body Strength
Dumbbell Bench Press – 3 sets of 12 reps

Machine Chest Fly – 3 sets of 12 reps

Machine Row – 3 sets of 12 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Triceps Dips (Assisted Machine) – 3 sets of 10 reps

Dumbbell Lateral Raises – 3 sets of 12 reps

Plank – 3 sets of 30 seconds

Thu: Rest
Fri: Lower Body Strength
Barbell Squats – 3 sets of 10 reps

Leg Press Machine – 3 sets of 12 reps

Dumbbell Lunges – 3 sets of 12 reps per leg

Leg Extensions – 3 sets of 15 reps

Calf Raises (Machine or Dumbbells) – 4 sets of 15 reps

Ab Crunch Machine – 3 sets of 15 reps

Sat: Optional Active Recovery or Cardio
Stationary Bike – 20 minutes low resistance

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
16,"Mon: Upper Body Push + Core Focus
Treadmill Warm-up – 5 minutes brisk walk

Barbell Bench Press – 4 sets of 10 reps

Dumbbell Shoulder Press – 4 sets of 12 reps

Machine Chest Fly – 3 sets of 12 reps

Cable Triceps Pushdowns – 3 sets of 12 reps

Dumbbell Lateral Raises – 3 sets of 12 reps

Plank – 3 sets of 30 seconds

Tue: Lower Body Strength
Barbell Squats – 4 sets of 10 reps

Leg Press Machine – 4 sets of 12 reps

Romanian Deadlifts (Dumbbells) – 3 sets of 12 reps

Leg Extensions – 3 sets of 15 reps

Seated Calf Raises – 4 sets of 15 reps

Ab Crunch Machine – 3 sets of 15 reps

Wed: Upper Body Pull + Core
Lat Pulldown – 4 sets of 12 reps

Dumbbell Rows – 4 sets of 10 reps

Cable Face Pulls – 3 sets of 15 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Machine Reverse Fly – 3 sets of 12 reps

Leg Raises – 3 sets of 12 reps

Thu: Lower Body + Cardio Intervals
Barbell Deadlifts – 4 sets of 8 reps

Lunges (Dumbbells) – 3 sets of 12 reps per leg

Leg Press Machine – 3 sets of 12 reps

Glute Kickbacks (Machine) – 3 sets of 15 reps per leg

Stationary Bike Intervals – 10 minutes (30 sec sprint, 1 min recovery)

Plank to Push-up – 3 sets of 10 reps

Fri: Upper Body Push + Pull
Barbell Bench Press – 4 sets of 10 reps

Dumbbell Chest Press – 3 sets of 12 reps

Barbell Bent-over Rows – 3 sets of 12 reps

Dumbbell Shoulder Press – 3 sets of 12 reps

Triceps Dips (Assisted Machine) – 3 sets of 10 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Sat: Active Recovery or Cardio
Stationary Bike – 20 minutes moderate pace

Full-body Stretching – 10 minutes

Foam Rolling – 5-10 minutes

Sun: Rest"
17,"Mon: Full Body Strength & Endurance
Bodyweight Squats – 4 sets of 15 reps

Push-ups (Standard or Elevated) – 4 sets of 12–15 reps

Bulgarian Split Squats (Bodyweight) – 3 sets of 12 reps per leg

Glute Bridges – 4 sets of 15 reps

Diamond Push-ups – 3 sets of 8–12 reps

Plank – 3 sets of 45 seconds

Tue: Rest
Wed: Upper Body Push + Core
Push-ups (Wide Grip) – 4 sets of 12–15 reps

Triceps Dips (using a chair) – 4 sets of 12–15 reps

Pike Push-ups (Shoulder Focus) – 3 sets of 10 reps

Leg Raises – 4 sets of 15 reps

Bicycle Crunches – 4 sets of 20 reps per side

Side Plank – 3 sets of 30–45 seconds per side

Thu: Rest
Fri: Lower Body + Mobility
Jump Squats – 4 sets of 12 reps

Step-ups (using a chair or bench) – 4 sets of 12 reps per leg

Sumo Squats – 4 sets of 15 reps

Calf Raises (Slow Tempo) – 4 sets of 20 reps

Glute Bridge March – 3 sets of 10 reps per leg

Forward Fold Stretch – 2 sets of 30 seconds

Sat: Optional Active Recovery or Cardio
Walking or Light Jogging – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
18,"Mon: Full Body Strength + Core
Bodyweight Squats – 4 sets of 15 reps

Push-ups (Standard or Elevated) – 4 sets of 15–20 reps

Bulgarian Split Squats (Bodyweight) – 4 sets of 12 reps per leg

Glute Bridges – 4 sets of 15 reps

Diamond Push-ups – 3 sets of 10–12 reps

Plank – 4 sets of 45 seconds

Leg Raises – 3 sets of 15 reps

Tue: Upper Body Push + Core
Push-ups (Wide Grip) – 4 sets of 15–20 reps

Triceps Dips (using a chair) – 4 sets of 12–15 reps

Pike Push-ups – 3 sets of 10 reps

Shoulder Taps – 3 sets of 20 reps

Side Plank with Reach – 3 sets of 30 seconds per side

Bicycle Crunches – 3 sets of 25 reps per side

Superman Hold – 3 sets of 30 seconds

Wed: Lower Body + Core
Jump Squats – 4 sets of 12 reps

Walking Lunges – 4 sets of 15 reps per leg

Sumo Squats – 4 sets of 15 reps

Calf Raises (Slow Tempo) – 4 sets of 20 reps

Glute Bridge March – 4 sets of 12 reps per leg

Mountain Climbers – 3 sets of 30 reps

Leg Raises – 3 sets of 15 reps

Thu: Active Recovery or Rest
Light walking, cycling, or yoga – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Upper Body Pull + Core
Inverted Rows (using a sturdy table or bar) – 4 sets of 10–12 reps

Push-ups (Decline or Standard) – 4 sets of 15 reps

Triceps Dips (using a chair) – 3 sets of 12–15 reps

Superman Hold – 3 sets of 30 seconds

Plank to Push-up – 3 sets of 10 reps

Russian Twists – 3 sets of 30 reps (15 per side)

Side Plank – 3 sets of 30 seconds per side

Sat: Lower Body Strength + Core
Bulgarian Split Squats (Bodyweight) – 4 sets of 12 reps per leg

Single-leg Glute Bridges – 4 sets of 12 reps per leg

Sumo Squats – 4 sets of 15 reps

Calf Raises (Slow Tempo) – 4 sets of 20 reps

Leg Raises – 4 sets of 15 reps

Mountain Climbers – 3 sets of 30 reps

Sun: Rest"
19,"Mon: Upper Body Push + Core Focus
Treadmill Warm-up – 5 minutes brisk walk

Barbell Bench Press – 4 sets of 10 reps

Dumbbell Shoulder Press – 4 sets of 12 reps

Machine Chest Fly – 3 sets of 12 reps

Triceps Pushdown (Cable) – 3 sets of 12 reps

Dumbbell Lateral Raises – 3 sets of 15 reps

Plank – 3 sets of 45 seconds

Tue: Rest
Wed: Lower Body Strength
Barbell Squats – 4 sets of 10 reps

Leg Press Machine – 4 sets of 12 reps

Romanian Deadlifts (Dumbbells) – 4 sets of 12 reps

Leg Extensions – 3 sets of 15 reps

Seated Calf Raises – 4 sets of 15 reps

Ab Crunch Machine – 3 sets of 15 reps

Thu: Rest
Fri: Upper Body Pull + Core
Lat Pulldown – 4 sets of 12 reps

Barbell Bent-over Rows – 4 sets of 10 reps

Machine Row – 3 sets of 12 reps

Dumbbell Bicep Curls – 3 sets of 12 reps

Dumbbell Shrugs – 3 sets of 12 reps

Hanging Leg Raises – 3 sets of 15 reps

Sat: Optional Active Recovery or Cardio
Stationary Bike – 20 minutes moderate pace

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Sun: Rest"
20,"Mon: Upper Body Push (Chest, Shoulders, Triceps)
Barbell Bench Press – 4 sets of 8–10 reps

Dumbbell Shoulder Press – 4 sets of 10–12 reps

Machine Chest Fly – 3 sets of 12–15 reps

Triceps Pushdown (Cable) – 3 sets of 12–15 reps

Dumbbell Lateral Raises – 4 sets of 12 reps

Skull Crushers (EZ Bar) – 3 sets of 10 reps

Plank – 3 sets of 45 seconds

Tue: Lower Body Strength (Quads, Hamstrings, Glutes)
Barbell Squats – 4 sets of 8–10 reps

Leg Press Machine – 4 sets of 12 reps

Romanian Deadlifts (Dumbbells) – 4 sets of 10–12 reps

Leg Extensions – 3 sets of 12–15 reps

Seated Calf Raises – 4 sets of 15–20 reps

Glute Kickbacks (Machine) – 3 sets of 12 reps per leg

Wed: Upper Body Pull (Back, Biceps)
Lat Pulldown – 4 sets of 12 reps

Barbell Bent-over Rows – 4 sets of 10 reps

Machine Row – 3 sets of 12 reps

Dumbbell Bicep Curls – 4 sets of 12 reps

Dumbbell Hammer Curls – 3 sets of 12 reps

Cable Face Pulls – 3 sets of 15 reps

Hanging Leg Raises – 3 sets of 15 reps

Thu: Active Recovery or Rest
Light walking or stationary bike – 20–30 minutes

Full-body Stretching – 10 minutes

Foam Rolling – 5–10 minutes

Fri: Full Body Strength
Barbell Deadlifts – 4 sets of 8 reps

Dumbbell Chest Press – 4 sets of 10 reps

Dumbbell Rows – 4 sets of 10 reps

Leg Press Machine – 3 sets of 12 reps

Dumbbell Bicep Curls – 4 sets of 12 reps

Seated Calf Raises – 4 sets of 15–20 reps

Ab Crunch Machine – 3 sets of 15 reps

Sat: Lower Body Strength + Core
Bulgarian Split Squats (Dumbbells) – 4 sets of 12 reps per leg

Leg Press Machine – 4 sets of 12 reps

Dumbbell Step-ups – 4 sets of 12 reps per leg

Barbell Hip Thrusts – 3 sets of 10 reps

Russian Twists (Weighted) – 3 sets of 30 reps

Side Plank – 3 sets of 30–45 seconds per side

Sun: Rest"
